,prob_neg_drop_one_det,prob_neg_drop_zero_det,prob_neg_drop,lambda_rho,var,r,q_single,q_chip,q_chip_uncor,rho,lambda,r_like,Phi_like,q_chip_like,lambda_like,rho_like,var_lam_chip_like,var_r_chip_like,var_rho_chip_like,var_q_chip_like,cov_lam_r_chip_like,cov_lam_rho_chip_like,cov_lam_q_chip_like,cov_r_rho_chip_like,cov_r_q_chip_like,cov_rho_q_chip_like
10,0.07079646017699115,0.8,0.168,2.436,4.807519038076151,2.502234181857515,0.09674999479269034,0.12095613436896142,0.0,0.8229747071407171,2.9599937627043964,2.345250683765778,0.10846574504931761,0.08560079832164594,2.9546019176822145,0.8244765514506129,0.030424029063617946,0.09416751434632667,0.0014271858387622973,0.0007968720209027579,0.010213949603016626,-0.00476342968647035,0.0011838013427293988,-0.0028501849589238817,0.0,-0.0003303377158239279
11,0.102803738317757,0.8173913043478261,0.21,2.308,5.387911823647295,1.72955081346836,0.14132224567364757,0.11820339221738639,0.0,0.8030136663893468,2.87417275272243,1.7435686940449024,0.1372637632425137,0.11645245329224782,2.8641335659801594,0.8058283410432221,0.0333171883456225,0.05077721220486907,0.0015483012323381188,0.0009984105697068272,0.006969871234204024,-0.005114741277059999,0.0015907690773059237,-0.0019609838872934778,0.0,-0.00044756530274090215
12,0.05982905982905983,0.7628865979381443,0.164,2.426,5.507539078156312,1.90991444558324,0.0903637455661855,0.030657383072248582,0.0,0.7808261290090656,3.106965699366131,2.0270651673817124,0.16267563127287402,0.10808581775579286,3.1504051872030665,0.7700596767217127,0.0432720083714315,0.06340338799169701,0.0017362525068858792,0.001067372499159365,0.01031418616638827,-0.006643333648826323,0.0021448707405028813,-0.0025211166161099134,0.0,-0.0005242749331897436
13,0.09401709401709402,0.75,0.172,2.448,5.470236472945892,1.9828706501442876,0.14492876122443252,0.12462187440571984,0.0,0.7559500066815286,3.238309383376074,2.0432187459035887,0.18496724219254068,0.1715201340814746,3.278728345513228,0.7466309318824668,0.053459850941969395,0.06480705701030495,0.002001910157863657,0.0014621690604019447,0.011987182609810867,-0.008284378464318098,0.003623182438174653,-0.0027297172499380763,0.0,-0.0008250699036705587
14,0.06481481481481481,0.7641509433962265,0.18,2.428,5.772360721442885,1.7627237283951211,0.09880252638029693,0.09000694688687337,0.0,0.7617953914487523,3.187207519571004,1.8581377169989766,0.1804555925711401,0.12630914399334803,3.201457521562564,0.7584045653102854,0.04916005268307387,0.05222500634761892,0.0018948428080624638,0.0012030334520346205,0.009424294467491125,-0.00751551989466828,0.0026538640339788546,-0.0022325543602668904,0.0,-0.0006286832124200656
15,0.06611570247933884,0.7849462365591398,0.164,2.514,5.3084208416833665,2.261719461050361,0.09374763980469984,0.11342083813420023,0.0,0.8050721391467766,3.122701529162793,2.167715071290008,0.13253904597916652,0.10370927589842557,3.134510049095063,0.8020392216403309,0.03881276593758922,0.0814482598687871,0.0016384941622696362,0.0009818395863950462,0.010795074659672277,-0.006007601211797986,0.0017671010151062588,-0.0027621775467245382,0.0,-0.0004521549781360038
16,0.044642857142857144,0.7888888888888889,0.154,2.65,5.827154308617233,2.210311277910938,0.06299828800924985,0.09735359427824804,0.0,0.8129346223769511,3.2597947326337597,2.091936440047105,0.13146091575029537,0.07915995549880157,3.273379306838288,0.809560931256573,0.04038852503747451,0.06290070591881276,0.0015375596348641714,0.0008459153299239903,0.00826898440142715,-0.005836091700697082,0.0014509749927710425,-0.002045056831202162,0.0,-0.00035885015339462916
17,0.08695652173913043,0.8202247191011236,0.17,2.574,5.723971943887775,2.1033444481485346,0.1164899594238972,0.09922948759486598,0.0,0.833809432312997,3.08703631819047,2.132490364335971,0.1132966070090441,0.13254823910258806,3.1072293892000253,0.8283907229207469,0.03557105804517494,0.07006133955274796,0.001534460084428751,0.001063605528770106,0.007937712053834884,-0.005412422279288538,0.0017989537897351836,-0.0021162026368146303,0.0,-0.00047960303013335506
18,0.045454545454545456,0.7755102040816326,0.162,2.41,4.999899799599198,2.242596412764246,0.06564838125535866,0.06710672982529688,0.0,0.801015338148044,3.008681463668281,2.2211650068406246,0.12858928110852236,0.05971569411498029,3.0055181789245813,0.8018584006243921,0.033112368850456715,0.08898811481363013,0.0014558388067062418,0.0006178942106562883,0.011442917711087347,-0.00506047823909407,0.0009650249027482905,-0.003052917716029984,0.0,-0.0002574641971912263
19,0.09401709401709402,0.8351648351648352,0.174,2.544,5.955975951903808,1.8968293127590192,0.12378726644099404,0.044980332698966154,0.0,0.8459649886099678,3.007216651105299,2.1270553721161245,0.09797396758850158,0.10683402464320008,3.0016418276318015,0.8475361639023846,0.03027105922645617,0.08250784104689728,0.0013454554976454188,0.0009003293523474264,0.008083620544525954,-0.004460149820609895,0.0012544578979538496,-0.0022824711075389624,0.0,-0.00035420563000605705
20,0.08823529411764706,0.7888888888888889,0.162,2.546,4.957799599198397,2.687667749076018,0.12216415473361389,0.16731287283123403,0.0,0.8145267458799235,3.1257414355983935,2.588542368863617,0.10914666151722272,0.121926096141998,3.1064181579801957,0.8195934579700687,0.03410320009992818,0.14566580600623935,0.001517664111530046,0.0010207083942486575,0.015898936422796436,-0.005391428235006386,0.0017250245388274643,-0.004194755380028614,0.0,-0.0004551283037117239
21,0.06140350877192982,0.8181818181818182,0.176,2.342,4.550136272545091,2.4839789410632926,0.08136324733654614,0.09947045399003013,0.0,0.8385537182100982,2.7929039596879064,2.4276586663500654,0.0925567216822369,0.07314716838910704,2.7834639697006325,0.8413976345639161,0.024992463951953203,0.12405641161944524,0.0012876737960690369,0.0006596602285944193,0.011482254763158013,-0.003942604744279777,0.0008265403576632721,-0.0034709060732769207,0.0,-0.000249850225970156
22,0.07407407407407407,0.7777777777777778,0.198,2.19,4.330561122244489,2.240580729117906,0.10654259772506469,0.15545915147070227,0.0,0.7786105521564635,2.8127026970473357,2.1070014414415184,0.1388380643351105,0.09298674884207987,2.7865873625749202,0.7859075331398728,0.030454612063842697,0.08252564485663046,0.001513602098028045,0.0008536628765282346,0.01145770078990134,-0.004938584438601274,0.0013475591196437963,-0.003231441254698518,0.0,-0.00038005514476344393
