,chip,y,x,n_cells,label
184,0,2719.176796887029,18365.51401629952,7,185.0
185,0,2718.552215720016,18902.292470742603,5,186.0
186,0,2717.7030757042694,19435.79520032199,7,187.0
187,0,2715.569298054685,19968.894827473126,3,188.0
188,0,2714.5415994967,20509.57801193221,2,189.0
189,0,2713.833113429846,21035.09952296129,7,190.0
190,0,2745.756965178728,7711.673274891116,2,191.0
191,0,2738.1639498916634,11443.254365011637,3,192.0
192,0,3203.8936843373194,1060.6584535441652,1,193.0
193,0,3197.7898225295094,1587.622093097316,5,194.0
194,0,3203.062111464849,2119.04039883772,2,195.0
195,0,3197.6786388801133,2652.386957697323,0,196.0
196,0,3198.4858065210738,3186.5848816504067,5,197.0
197,0,3199.624401902209,3718.345650605007,3,198.0
198,0,3197.538881710049,4250.513620523275,1,199.0
199,0,3196.756218812623,4784.54897378128,2,200.0
200,0,3196.1975018439525,5317.386064046861,0,201.0
201,0,3194.777409145086,5847.030246986114,1,202.0
202,0,3193.532190867661,6376.786640612182,0,203.0
203,0,3193.047916087259,6912.978596217672,2,204.0
204,0,3191.75240379492,7449.411523484188,0,205.0
205,0,3190.621391307441,7975.585761906277,1,206.0
206,0,3189.460059838397,8515.86512048537,1,207.0
207,0,3188.6139021709064,9037.817785802525,3,208.0
208,0,3187.611818256658,9570.78756119694,2,209.0
209,0,3186.465915069111,10103.889311786035,3,210.0
210,0,3184.899860168821,10637.379794069338,0,211.0
211,0,3184.11929326926,11180.750176268566,2,212.0
212,0,3182.86716445358,11707.040642885162,2,213.0
213,0,3181.5898188353285,12243.731217304285,2,214.0
214,0,3180.7363991313773,12769.398064731511,0,215.0
215,0,3179.564529348217,13299.287112458707,3,216.0
216,0,3178.4186261606706,13832.388863047803,4,217.0
217,0,3177.5130805557865,14368.949378899537,3,218.0
218,0,3176.008967107892,14901.937042282578,1,219.0
219,0,3174.595279528892,15431.318791650148,5,220.0
220,0,3173.968357741985,15971.59855426431,4,221.0
221,0,3172.280064327784,16508.412642260126,2,222.0
222,0,3171.391428692018,17041.52254714589,2,223.0
223,0,3169.747570789093,17567.180403451057,4,224.0
224,0,3169.1174296244794,18103.74831172553,2,225.0
225,0,3167.9709518659124,18633.386865240784,3,226.0
226,0,3166.852342987927,19166.23015098359,1,227.0
227,0,3165.404075831378,19707.288030949887,6,228.0
228,0,3164.6537098864105,20239.23066753448,5,229.0
229,0,3163.532419018792,20773.10380077536,1,230.0
230,0,3642.487616077391,791.4422960955671,6,231.0
231,0,3642.541472804917,1324.1750449679384,2,232.0
232,0,3639.193848599623,1858.4915693302028,3,233.0
233,0,3639.983558390205,2385.8786656924185,2,234.0
234,0,3639.6735384610656,2919.758484166213,6,235.0
235,0,3637.958430155818,3456.3168225727823,4,236.0
236,0,3636.966129572712,3981.859799469443,5,237.0
237,0,3635.666053679636,4522.785548502512,3,238.0
238,0,3635.0783131301687,5048.187754531881,1,239.0
239,0,3633.801849216753,5585.134305830391,0,240.0
240,0,3632.816320124061,6109.901542808975,3,241.0
241,0,3631.374591852582,6647.236399528731,3,242.0
242,0,3630.884100205493,7179.711912359514,1,243.0
243,0,3629.103999277552,7713.439946306025,5,244.0
244,0,3629.0565725621054,8250.387912811006,2,245.0
245,0,3627.115981400898,8771.941938106935,1,246.0
246,0,3626.4476038721873,9305.296077932042,7,247.0
247,0,3625.30170068464,9838.397828521138,1,248.0
248,0,3623.885402381143,10371.755048023017,3,249.0
249,0,3626.038306452325,10905.569213651495,3,250.0
250,0,3621.5196983497312,11445.020349766088,4,251.0
251,0,3620.840272001704,11977.884312487022,4,252.0
252,0,3619.342868122978,12507.37849847304,5,253.0
253,0,3618.191958432034,13033.281247497172,8,254.0
254,0,3616.78968077543,13565.880010855912,4,255.0
255,0,3616.045041661633,14099.352740086822,4,256.0
256,0,3614.2048086015743,14639.784309045075,0,257.0
257,0,3613.75323528654,15165.55624126501,8,258.0
258,0,3612.8344553025368,15702.38298183664,0,259.0
259,0,3611.015446881906,16242.81244931329,10,260.0
260,0,3610.1756426226034,16772.192503185805,2,261.0
261,0,3608.343607914303,17305.424659253982,3,262.0
262,0,3607.186860937729,17838.26223238946,1,263.0
263,0,3606.0544270781984,18367.649980751063,5,264.0
264,0,3605.592029872416,18904.599505542188,11,265.0
265,0,3605.00913029285,19437.837001224423,4,266.0
266,0,3603.300223497323,19970.80300672038,9,267.0
267,0,3602.2626862246166,20511.23630107469,4,268.0
268,0,3601.0084171222293,21037.00650789857,8,269.0
269,0,4092.141405903003,1062.0257008392273,5,270.0
270,0,4091.395546486267,1587.8507606705934,3,271.0
271,0,4090.387123394905,2120.815620923251,2,272.0
272,0,4089.2418107212734,2653.6426502223894,5,273.0
273,0,4087.708487512433,3187.404292194268,3,274.0
274,0,4087.096872204292,3720.2579981001218,2,275.0
275,0,4086.0713659225567,4252.955917042747,4,276.0
276,0,4084.509560947845,4786.460864090031,2,277.0
277,0,4083.778091150303,5318.886044103857,5,278.0
278,0,4082.516330989063,5848.686813103723,1,279.0
279,0,4081.501063549576,6378.214103646054,2,280.0
280,0,4080.367469364881,6914.753617394872,1,281.0
281,0,4079.33241359949,7451.430539188043,2,282.0
282,0,4078.339371718508,7977.244521737874,3,283.0
283,0,4076.78433165367,8517.900137771097,2,284.0
284,0,4075.932558969691,9039.605697413785,0,285.0
