,prob_neg_drop_one_det,prob_neg_drop_zero_det,prob_neg_drop,lambda_rho,var,r,q_single,q_chip,q_chip_uncor,rho,lambda,r_like,Phi_like,q_chip_like,lambda_like,rho_like,var_lam_chip_like,var_r_chip_like,var_rho_chip_like,var_q_chip_like,cov_lam_r_chip_like,cov_lam_rho_chip_like,cov_lam_q_chip_like,cov_r_rho_chip_like,cov_r_q_chip_like,cov_rho_q_chip_like,concentration,dataset,date,date_index
10,0.9594594594594594,1.0,0.9858156028368794,0.91725768321513,1.1613839310723448,3.4464203042570234,0.9594594594594594,0.9843930367234656,0.9843930367234656,0.9999999999999964,0.9172576832151332,4.269995040694589,5.194291076090539e-16,0.9845361454027266,0.91725768321513,1.0,0.0026342744984965,8.856256512916094,2.8408558469979283e-30,2.229347896016024e-05,4.600197417260878e-15,-1.4917496762279211e-18,0.0,-5.015163679127194e-15,0.0,0.0,65,3,20230404,2
11,1.0,1.0,0.9907834101382488,1.6981566820276497,3.730851097795894,1.4186766561393176,1.0,0.9945295932143136,0.9945295932143136,0.9999999999999708,1.6981566820276994,1.6938523696060526,3.953512136173919e-16,0.9945316076217328,1.6981566820276497,1.0,0.0078355498025996,0.0623374783160537,3.803477518542473e-33,5.074596470250172e-06,2.4645197706099707e-17,-1.8242098368204964e-18,0.0,-1.4512911539277168e-17,0.0,0.0,70,3,20230404,2
12,0.9913793103448276,0.9953917050691244,0.9953810623556582,0.8775981524249422,1.3761868103669488,1.544717283218375,0.9989515892119862,1.0,0.9947167362253684,0.0,inf,1.5634026895137705,0.719047808052314,0.9982427353365708,2.6327944572748265,0.3333333333333333,47.14679005389404,0.1114135150161471,0.7556790758417108,2.2442487402541876e-05,0.0801116437597641,-5.96710340118241,0.0313727924339291,-0.0101427899847888,0.0,-0.0039720523754068,75,3,20230404,2
13,0.7610062893081762,0.893719806763285,0.7873684210526316,0.9052631578947368,1.0901621141461246,4.432157983235779,0.8733674237322175,0.8800560526636529,0.7286715949862765,0.4420618892824011,2.0478199542698654,4.551568025256555,0.2092480741995377,0.8800077145192182,2.0470945742011297,0.4422185322082699,0.2969916196725158,2.077189217119557,0.0138214346927403,0.0007767756467314,0.4346478434303128,-0.0628071756218636,0.0113785372716569,-0.0938937232170877,0.0,-0.0024580203154086,80,0,20230315,1
14,0.9918032786885246,1.0,0.9890829694323144,2.3646288209606987,3.5757264483579068,4.616861047721407,0.9918032786885246,0.9953522859820358,0.9953522859820358,0.9999999999999962,2.364628820960708,4.952940115261557,8.10699681213024e-18,0.9953552070547406,2.3646288209606987,1.0,0.0076278342251974,0.9274654956766054,1.0991298597693578e-35,3.680228055322948e-06,7.518959816811033e-18,-2.6151600284568134e-20,0.0,-3.179763246629228e-18,0.0,0.0,80,3,20230404,2
15,0.92,0.9727272727272728,0.9415584415584416,0.8051948051948052,0.9381074456996368,4.87793088640905,0.951171042985516,0.9648722568891082,0.9247485207358938,0.4668046854946974,1.7249072903831246,4.819139306024248,0.1966756725157756,0.968345877704506,1.91136449897223,0.4212670087928131,1.0351348486941705,7.445329560761881,0.0502788309637939,0.0002384694981868,1.4643151984644276,-0.2268714675388437,0.012253746702049,-0.3227368112773168,0.0,-0.0027007403467275,100,0,20230315,1
16,1.0,1.0,1.0,1.5460251046025104,1.9842504144627773,5.45425736551671,1.0,1.0,1.0,,,5.2250903597535325,3.1678197863079612e-09,1.0,1.546025126052184,0.9999999861259218,,,,,,,,,,,100,3,20230404,2
17,1.0,1.0,0.9978991596638656,1.2142857142857142,1.705563909774436,3.0013336831518647,1.0,0.998267469382794,0.998267469382794,0.9999999999996648,1.214285714286121,3.212673366530864,0.0,0.9982669141894864,1.2142857142857142,1.0,0.0035152228916011,0.4703059991463473,0.0,1.9379255414253413e-06,0.0,0.0,0.0,0.0,0.0,0.0,130,1,20230315,2
18,1.0,1.0,1.0,1.8933901918976543,2.4116869863138524,6.916744339143073,1.0,1.0,1.0,,,6.8655525102432255,2.899717165368807e-06,1.0,1.8934155903541583,0.9999865859050524,,,,,,,,,,,130,3,20230404,2
19,1.0,1.0,1.0,0.9807692307692308,1.3036979080876294,2.978701959861105,1.0,1.0,1.0,,,3.022640425072812,8.883441649540861e-10,1.0,0.9807692343256365,0.9999999963738608,,,,,,,,,,,160,1,20230315,2
20,1.0,1.0,1.0,1.1853546910755148,1.5274914450066128,4.106737225716742,1.0,1.0,1.0,,,4.409868442885484,8.661074070067453e-07,1.0,1.185359537139715,0.9999959117347536,,,,,,,,,,,200,1,20230315,2
21,1.0,1.0,1.0,1.1757322175732217,1.7636027122093278,2.3514468918793456,1.0,1.0,1.0,,,3.129531528482989,0.0,1.0,1.1757322175732217,1.0,,,,,,,,,,,250,1,20230315,2
22,1.0,1.0,1.0,0.919831223628692,1.008358533822178,9.55738379617584,1.0,1.0,1.0,,,9.474759852185132,1.572821847869219e-05,1.0,0.919994712028129,0.9998222941965866,,,,,,,,,,,300,1,20230315,2
23,1.0,1.0,1.0,1.0172043010752687,1.210910270671116,5.341624691716309,1.0,1.0,1.0,,,5.445247551738735,0.0,1.0,1.0172043010752687,1.0,,,,,,,,,,,350,1,20230315,2
